cod_upp;upp;Data da Ocupação;Data da Instalação;Data da Extinção
1;Santa Marta;19/nov/08;19/dez/08;
2;Cidade de Deus;11/nov/08;16/fev/09;01/jul/18
3;Batam;12/jul/08;18/fev/09;01/jun/18
4;Chapéu Mangueira / Babilônia;11/mai/09;10/jun/09;
5;Pavão-Pavãozinho;30/nov/09;23/dez/09;
6;Tabajaras;26/dez/09;14/jan/10;
7;Providência;22/mar/10;26/abr/10;
8;Borel;28/abr/10;07/jun/10;
9;Formiga;28/abr/10;01/jul/10;
10;Andaraí;11/jun/10;28/jul/10;
11;Salgueiro;30/jul/10;17/set/10;
12;Turano;10/ago/10;30/out/10;
13;São João / Matriz / Queto;06/jan/11;31/jan/11;
14;Coroa / Fallet / Fogueteiro;06/jan/11;25/fev/11;01/dez/18
15;Escondidinho / Prazeres;06/jan/11;25/fev/11;
16;São Carlos;06/jan/11;17/mai/11;01/nov/18
17;Mangueira;19/jun/11;03/nov/11;
18;Macacos;14/out/10;30/nov/11;
19;Vidigal;13/dez/11;18/jan/12;
20;Nova Brasília;28/nov/10;18/abr/12;
21;Fazendinha;28/nov/10;18/abr/12;
22;Adeus / Baiana;28/nov/10;11/mai/12;
23;Alemão;28/nov/10;30/mai/12;
24;Chatuba;27/jun/12;27/jun/12;
25;Fé / Sereno;27/jun/12;27/jun/12;
26;Parque Proletário;28/nov/10;28/ago/12;
27;Vila Cruzeiro;28/nov/10;28/ago/12;
28;Rocinha;13/dez/11;20/set/12;
29;Jacarezinho;14/out/12;16/jan/13;
30;Manguinhos;14/out/12;16/jan/13;
31;Barreira do Vasco / Tuiuti;03/mar/13;12/abr/13;
32;Caju;03/mar/13;12/abr/13;01/dez/18
33;Cerro-Corá;29/abr/13;03/jun/13;21/dez/18
34;Arará / Mandela;13/out/12;06/set/13;
35;Lins;06/out/13;02/dez/13;
36;Camarista Méier;06/out/13;02/dez/13;01/nov/18
37;Mangueirinha;05/ago/13;07/fev/14;01/jun/18
38;Vila Kennedy;13/mar/14;23/mai/14;01/jun/18
