cod_upp;upp;ano;mes;ocorrencias;qtde;Ano_Mes
1;Santa Marta;2008;10;hom_doloso;0;2008m10
1;Santa Marta;2008;10;lesao_corp_morte;0;2008m10
1;Santa Marta;2008;10;latrocinio;0;2008m10
1;Santa Marta;2008;10;hom_por_interv_policial;0;2008m10
1;Santa Marta;2008;10;tentat_hom;0;2008m10
1;Santa Marta;2008;10;estupro;0;2008m10
1;Santa Marta;2008;10;hom_culposo;0;2008m10
1;Santa Marta;2008;10;lesao_corp_culposa;0;2008m10
1;Santa Marta;2008;10;roubo_residencia;0;2008m10
1;Santa Marta;2008;10;roubo_veiculo;0;2008m10
1;Santa Marta;2008;10;roubo_carga;0;2008m10
1;Santa Marta;2008;10;roubo_transeunte;0;2008m10
1;Santa Marta;2008;10;roubo_em_coletivo;0;2008m10
1;Santa Marta;2008;10;roubo_banco;0;2008m10
1;Santa Marta;2008;10;roubo_cx_eletronico;0;2008m10
1;Santa Marta;2008;10;roubo_celular;0;2008m10
1;Santa Marta;2008;10;roubo_conducao_saque;0;2008m10
1;Santa Marta;2008;10;furto_veiculos;0;2008m10
1;Santa Marta;2008;10;sequestro;0;2008m10
1;Santa Marta;2008;10;extorsao;0;2008m10
1;Santa Marta;2008;10;sequestro_relampago;0;2008m10
1;Santa Marta;2008;10;estelionato;0;2008m10
1;Santa Marta;2008;10;apreensao_drogas;0;2008m10
1;Santa Marta;2008;10;cump_mandado_prisao;0;2008m10
1;Santa Marta;2008;10;pessoas_desaparecidas;0;2008m10
1;Santa Marta;2008;10;encontro_cadaver;0;2008m10
1;Santa Marta;2008;10;encontro_ossada;0;2008m10
1;Santa Marta;2008;10;pol_militares_mortos_serv;0;2008m10
1;Santa Marta;2008;10;pol_civis_mortos_serv;0;2008m10
2;Cidade de Deus;2008;10;lesao_corp_morte;0;2008m10
2;Cidade de Deus;2008;10;latrocinio;0;2008m10
2;Cidade de Deus;2008;10;hom_por_interv_policial;0;2008m10
2;Cidade de Deus;2008;10;hom_culposo;0;2008m10
2;Cidade de Deus;2008;10;roubo_residencia;0;2008m10
2;Cidade de Deus;2008;10;roubo_banco;0;2008m10
2;Cidade de Deus;2008;10;roubo_cx_eletronico;0;2008m10
2;Cidade de Deus;2008;10;roubo_conducao_saque;0;2008m10
2;Cidade de Deus;2008;10;furto_veiculos;0;2008m10
2;Cidade de Deus;2008;10;sequestro;0;2008m10
2;Cidade de Deus;2008;10;extorsao;0;2008m10
2;Cidade de Deus;2008;10;sequestro_relampago;0;2008m10
2;Cidade de Deus;2008;10;cump_mandado_prisao;0;2008m10
2;Cidade de Deus;2008;10;encontro_cadaver;0;2008m10
2;Cidade de Deus;2008;10;encontro_ossada;0;2008m10
2;Cidade de Deus;2008;10;pol_militares_mortos_serv;0;2008m10
2;Cidade de Deus;2008;10;pol_civis_mortos_serv;0;2008m10
3;Batam;2008;10;hom_doloso;0;2008m10
3;Batam;2008;10;lesao_corp_morte;0;2008m10
3;Batam;2008;10;latrocinio;0;2008m10
3;Batam;2008;10;hom_por_interv_policial;0;2008m10
3;Batam;2008;10;tentat_hom;0;2008m10
3;Batam;2008;10;estupro;0;2008m10
3;Batam;2008;10;hom_culposo;0;2008m10
3;Batam;2008;10;lesao_corp_culposa;0;2008m10
3;Batam;2008;10;roubo_comercio;0;2008m10
3;Batam;2008;10;roubo_residencia;0;2008m10
3;Batam;2008;10;roubo_carga;0;2008m10
3;Batam;2008;10;roubo_transeunte;0;2008m10
3;Batam;2008;10;roubo_em_coletivo;0;2008m10
3;Batam;2008;10;roubo_banco;0;2008m10
3;Batam;2008;10;roubo_cx_eletronico;0;2008m10
3;Batam;2008;10;roubo_celular;0;2008m10
3;Batam;2008;10;roubo_conducao_saque;0;2008m10
3;Batam;2008;10;furto_veiculos;0;2008m10
3;Batam;2008;10;sequestro;0;2008m10
3;Batam;2008;10;sequestro_relampago;0;2008m10
3;Batam;2008;10;estelionato;0;2008m10
3;Batam;2008;10;apreensao_drogas;0;2008m10
3;Batam;2008;10;recuperacao_veiculos;0;2008m10
3;Batam;2008;10;armas_apreendidas;0;2008m10
3;Batam;2008;10;cump_mandado_prisao;0;2008m10
3;Batam;2008;10;ocorr_flagrante;0;2008m10
3;Batam;2008;10;encontro_cadaver;0;2008m10
3;Batam;2008;10;encontro_ossada;0;2008m10
3;Batam;2008;10;pol_militares_mortos_serv;0;2008m10
3;Batam;2008;10;pol_civis_mortos_serv;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;hom_doloso;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;lesao_corp_morte;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;latrocinio;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;lesao_corp_dolosa;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;estupro;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;hom_culposo;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;lesao_corp_culposa;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_comercio;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_residencia;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_veiculo;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_carga;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_transeunte;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_em_coletivo;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_banco;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_cx_eletronico;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_celular;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;roubo_conducao_saque;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;furto_veiculos;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;sequestro;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;extorsao;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;sequestro_relampago;0;2008m10
4;Chapéu Mangueira / Babilônia;2008;10;estelionato;0;2008m10
