MesAno;Data
2008m1;01/jan/08
2008m2;01/fev/08
2008m3;01/mar/08
2008m4;01/abr/08
2008m5;01/mai/08
2008m6;01/jun/08
2008m7;01/jul/08
2008m8;01/ago/08
2008m9;01/set/08
2008m10;01/out/08
2008m11;01/nov/08
2008m12;01/dez/08
2009m1;01/jan/09
2009m2;01/fev/09
2009m3;01/mar/09
2009m4;01/abr/09
2009m5;01/mai/09
2009m6;01/jun/09
2009m7;01/jul/09
2009m8;01/ago/09
2009m9;01/set/09
2009m10;01/out/09
2009m11;01/nov/09
2009m12;01/dez/09
2010m1;01/jan/10
2010m2;01/fev/10
2010m3;01/mar/10
2010m4;01/abr/10
2010m5;01/mai/10
2010m6;01/jun/10
2010m7;01/jul/10
2010m8;01/ago/10
2010m9;01/set/10
2010m10;01/out/10
2010m11;01/nov/10
2010m12;01/dez/10
2011m1;01/jan/11
2011m2;01/fev/11
2011m3;01/mar/11
2011m4;01/abr/11
2011m5;01/mai/11
2011m6;01/jun/11
2011m7;01/jul/11
2011m8;01/ago/11
2011m9;01/set/11
2011m10;01/out/11
2011m11;01/nov/11
2011m12;01/dez/11
2012m1;01/jan/12
2012m2;01/fev/12
2012m3;01/mar/12
2012m4;01/abr/12
2012m5;01/mai/12
2012m6;01/jun/12
2012m7;01/jul/12
2012m8;01/ago/12
2012m9;01/set/12
2012m10;01/out/12
2012m11;01/nov/12
2012m12;01/dez/12
2013m1;01/jan/13
2013m2;01/fev/13
2013m3;01/mar/13
2013m4;01/abr/13
2013m5;01/mai/13
2013m6;01/jun/13
2013m7;01/jul/13
2013m8;01/ago/13
2013m9;01/set/13
2013m10;01/out/13
2013m11;01/nov/13
2013m12;01/dez/13
2014m1;01/jan/14
2014m2;01/fev/14
2014m3;01/mar/14
2014m4;01/abr/14
2014m5;01/mai/14
2014m6;01/jun/14
2014m7;01/jul/14
2014m8;01/ago/14
2014m9;01/set/14
2014m10;01/out/14
2014m11;01/nov/14
2014m12;01/dez/14
2015m1;01/jan/15
2015m2;01/fev/15
2015m3;01/mar/15
2015m4;01/abr/15
2015m5;01/mai/15
2015m6;01/jun/15
2015m7;01/jul/15
2015m8;01/ago/15
2015m9;01/set/15
2015m10;01/out/15
2015m11;01/nov/15
2015m12;01/dez/15
2016m1;01/jan/16
2016m2;01/fev/16
2016m3;01/mar/16
2016m4;01/abr/16
2016m5;01/mai/16
2016m6;01/jun/16
2016m7;01/jul/16
2016m8;01/ago/16
2016m9;01/set/16
2016m10;01/out/16
2016m11;01/nov/16
2016m12;01/dez/16
2017m1;01/jan/17
2017m2;01/fev/17
2017m3;01/mar/17
2017m4;01/abr/17
2017m5;01/mai/17
2017m6;01/jun/17
2017m7;01/jul/17
2017m8;01/ago/17
2017m9;01/set/17
2017m10;01/out/17
2017m11;01/nov/17
2017m12;01/dez/17
2018m1;01/jan/18
2018m2;01/fev/18
2018m3;01/mar/18
2018m4;01/abr/18
2018m5;01/mai/18
2018m6;01/jun/18
2018m7;01/jul/18
2018m8;01/ago/18
2018m9;01/set/18
2018m10;01/out/18
2018m11;01/nov/18
2018m12;01/dez/18
2019m1;01/jan/19
2019m2;01/fev/19
2019m3;01/mar/19
2019m4;01/abr/19
2019m5;01/mai/19
2019m6;01/jun/19
2019m7;01/jul/19
2019m8;01/ago/19
2019m9;01/set/19
2019m10;01/out/19
2019m11;01/nov/19
2019m12;01/dez/19
