cod_upp;upp;População da UPP
1;Santa Marta;4760
2;Cidade de Deus;44046
3;Batam;18904
4;Chapéu Mangueira / Babilônia;3928
5;Pavão-Pavãozinho;13340
6;Tabajaras;8480
7;Providência;15354
8;Borel;18032
9;Formiga;6057
10;Andaraí;14625
11;Salgueiro;5038
12;Turano;14249
13;São João / Matriz / Queto;11048
14;Coroa / Fallet / Fogueteiro;13154
15;Escondidinho / Prazeres;8353
16;São Carlos;19589
17;Mangueira;17774
18;Macacos;22553
19;Vidigal;12237
20;Nova Brasília;33084
21;Fazendinha;21950
22;Adeus / Baiana;11744
23;Alemão;16462
24;Chatuba;11831
25;Fé / Sereno;5391
26;Parque Proletário;17573
27;Vila Cruzeiro;20112
28;Rocinha;70491
29;Jacarezinho;28437
30;Manguinhos;24766
31;Barreira do Vasco / Tuiuti;16331
32;Caju;16694
33;Cerro-Corá;2922
34;Arará / Mandela;19711
35;Lins;14148
36;Camarista Méier;15337
37;Mangueirinha;28442
38;Vila Kennedy;40218
